quarter,baseline,adverse,severe
Q1,1.0,1.0,1.0
Q2,1.0,1.0847509508294493,1.020545823817613
Q3,1.0,1.0415137785115705,1.1070380527511794
Q4,1.0,1.1070380527511794,1.1070380527511794
Q5,1.0,1.1529953852769723,1.2764097661481153
Q6,1.0,1.0,1.329398358469994
Q7,1.0,1.0205458238176133,1.176684625325394
Q8,1.0,0.9798678086391492,1.0629125371084862
