scenario,peak_unemp_pct,peak_stress_multiplier,default_rate_annual_pct,default_rel_annual_pct,el_rate_annual_pct,el_rel_annual_pct,el_annual_per_1bn_$m,default_rate_24m_pct,default_rel_24m_pct,el_rate_24m_pct,el_rel_24m_pct,incremental_el_annual_vs_baseline_$m
baseline,4.0,1.0,7.256309580802379,0.0,5.951272195155904,0.0,59.512721951559044,13.755380086671373,0.0,11.251745927337984,0.0,0.0
adverse,6.1,1.1529953852769723,8.447852910067466,16.420789603815788,6.932462078057002,16.487061097621215,69.32462078057002,15.859552019690499,15.297083175898685,12.97280392419509,15.295919477487585,9.811898829010971
severe,8.9,1.329398358469994,9.857027029612867,35.84077305206306,8.095101018298578,36.02303428311788,80.95101018298578,18.28513236524861,32.93076781619766,14.95666699701237,32.92752159176173,21.43828823142674
