quarter,h_act,h_exp_flat,m_flat,h_exp_pooled,h_exp_base,m_pooled,m_base
2007Q3,0.0,0.011896706637547582,0.0,0.0020843845850313956,0.004296728899299973,0.0,0.0
2007Q4,0.0,0.014535771955380417,0.0,0.0038306349467046473,0.0057776026075222866,0.0,0.0
2008Q1,0.003875968992248062,0.012597822781224621,0.30766975052424755,0.002776316897203921,0.004822337140999399,1.39608306103371,0.8037532173548513
2008Q2,0.014745308310991957,0.011425349833256644,1.2905782777934427,0.0039982711636607346,0.005007537338686074,3.687921030721552,2.944622738421951
2008Q3,0.022504892367906065,0.01147511345428256,1.961191273408033,0.006622484720938584,0.006547590866065614,3.3982550834358918,3.4371256280753295
2008Q4,0.010262989095574085,0.011018767074785461,0.9314099323379978,0.007146139845336572,0.007188736842271187,1.4361584460555312,1.4276484618585132
2009Q1,0.014925373134328358,0.011206179061123832,1.3318877962701,0.007233210243050568,0.007434234642130733,2.063450754617311,2.007654298365081
2009Q2,0.01926444833625219,0.01098778135166494,1.7532609832405441,0.0076641075578834745,0.007668887137742114,2.5135931601633565,2.512026580941972
2009Q3,0.015457277801631602,0.010779280254180722,1.4339805104924819,0.00794034425623111,0.007915280489563584,1.946676025979812,1.9528401832395268
2009Q4,0.015092578185778745,0.010603746175673745,1.4233251094224524,0.007911795702342354,0.007953639989134734,1.907604639147907,1.8975686863368637
2010Q1,0.013516746411483253,0.010441439289427538,1.294529043057274,0.008135110585495818,0.00809927748485749,1.6615319815790108,1.668882988236214
2010Q2,0.012460209185993634,0.010449778312878305,1.192389810857296,0.00806472254296914,0.008077613758730845,1.5450263936056297,1.5425606569174932
2010Q3,0.012130615699273574,0.010649866955409924,1.1390391776783144,0.008201957459064664,0.008166166137218388,1.4789903214953917,1.4854725578000034
2010Q4,0.012672744996846149,0.010560910095247764,1.1999671318619287,0.008580663736729232,0.00834657682910792,1.4768956558221604,1.5183164615044473
2011Q1,0.009050857197586437,0.010512991400304749,0.8609212024394953,0.008857865737631428,0.008550307723054026,1.021787580176917,1.058541691216889
2011Q2,0.011098201049721543,0.010574452139697552,1.049529649678756,0.008943089239870139,0.008625733081655368,1.2409806893398168,1.2866385899796104
2011Q3,0.012398518971432454,0.010576093192045406,1.1723155938865732,0.00899279469682328,0.0086340341690318,1.3787170050498598,1.4360053167154416
2011Q4,0.011117849201536285,0.01078365848301894,1.0309904768445324,0.009099986046219003,0.008745188525654134,1.2217435438986957,1.271310409023421
2012Q1,0.011305066614801127,0.011026159040642388,1.0252950799213658,0.009188017461370573,0.0088596292500866,1.230414141280349,1.2760202820779012
2012Q2,0.010765793215518992,0.01185996153876471,0.9077426752465099,0.009308638838561688,0.009108957386129985,1.1565378571699376,1.1818908310968537
2012Q3,0.011919748856628368,0.01287972489254036,0.925466107085254,0.009334844066775762,0.009286215213509984,1.2769092629037806,1.2835960165221032
2012Q4,0.012080228054252368,0.01366182051419638,0.8842326717511378,0.009948587124595707,0.00976057517777563,1.214265694511198,1.2376553465576987
