,coef,coef,p_value_HAC,p_value_HAC,std_err_HAC,std_err_HAC
target,calibrated,raw,calibrated,raw,calibrated,raw
model_id,,,,,,
M1_unemp,0.20337605559603333,0.19684277874455655,5.949952640329598e-13,3.39613076624851e-12,0.028240304137733138,0.028280897634557003
M2_unemp_spread,0.21669930736765924,0.21138440725335958,1.3246758495095637e-09,1.7340244746174157e-09,0.03573316293349187,0.0351081819340922
M3_unemp_gdp,0.1926964040235093,0.18797315597356656,0.00013038319173905603,0.00012464456605558867,0.050368483698221674,0.04899208551706569
M4_unemp_gdp_spread,0.18715238705467918,0.18218035451486325,0.0005406070015183706,0.0005642399459786526,0.05409364778549894,0.05283276078748112
M5_unemp_time_trend,0.24940453247670352,0.24050063671158173,5.403958728029469e-07,1.1879169673804426e-06,0.049767582618153734,0.04950974496858167
