age_q,default_count,age_weight,cum_age_weight
0,2282,0.013611122708863931,0.013611122708863931
1,12788,0.07627477528525502,0.08988589799411895
2,21092,0.1258044698402095,0.21569036783432843
3,25203,0.1503247702153802,0.36601513804970864
4,26254,0.15659352129645646,0.5226086593461651
5,24706,0.14736038459473808,0.6699690439409032
6,22859,0.1363438448737601,0.8063128888146633
7,20390,0.12161734970803485,0.9279302385226982
8,12083,0.07206976147730187,1.0
