loan_age_quarter,share_of_24m_defaults,cumulative_share
0,0.02932177004240801,0.02932177004240801
1,0.09543293748546139,0.12475470752786941
2,0.13722063498690779,0.26197534251477717
3,0.15468486254674724,0.4166602050615244
4,0.15535289310914546,0.5720130981706699
5,0.14392479884526146,0.7159378970159314
6,0.1300631646754982,0.8460010616914295
7,0.11803861455233006,0.9640396762437595
8,0.03596032375624042,1.0
